0,0,1759,2761
401,238,1670,2705
401,238,1649,2705
430,239,1670,2678
390,206,1746,2722
430,1495,1224,2678
1079,206,1746,2708
390,222,1681,2722
430,239,1642,2678
398,736,1681,2722
1577,239,1650,2176
394,206,1643,1202
398,1675,1681,2722
390,222,1041,2708
394,206,1643,852
13,646,170,2282
622,736,1419,2081
390,222,482,2708
1575,239,1670,2678
431,624,441,1136
1575,242,1670,2678
465,1675,1630,2678
1079,252,1642,1933
430,249,1041,2677
1381,1523,1418,1560
429,223,1432,257
1577,242,1650,2176
430,252,441,1295
1577,242,1649,1047
1622,2218,1636,2399
472,251,1041,2676
1237,206,1746,2708
1575,251,1670,2678
1577,242,1643,1047
135,927,146,1057
390,222,428,2708
1621,1808,1636,2051
403,246,482,2689
21,1632,25,1865
430,1495,437,2677
429,223,1432,252
398,2613,1681,2722
1430,2273,1453,2303
1575,220,1746,2708
1644,520,1670,720
430,249,914,2677
679,574,1333,1202
1603,704,1650,2176
1139,441,1170,482
807,2394,891,2495
879,1675,1630,2678
13,656,122,2239
1575,251,1650,2678
1642,1328,1647,1666
430,2657,1576,2705
433,2657,1576,2705
430,252,434,1295
433,2678,1576,2705
1643,520,1670,990
867,461,955,603
1528,373,1551,425
1575,2240,1646,2684
1620,251,1642,1047
1575,2240,1643,2678
1381,1523,1418,1568
430,252,588,2677
401,238,1432,2689
1575,925,1650,2678
679,574,1333,1057
1306,1318,1333,1364
679,574,1333,1175
20,656,165,2273
1477,1106,1530,1206
459,250,914,310
1284,1077,1431,1295
622,736,1419,1513
1603,704,1650,1807
131,656,137,787
1638,1359,1644,1807
1637,1776,1643,2176
1284,1077,1431,1286
625,1312,1181,2081
430,249,1157,2677
22,1732,165,2273
430,249,914,900
1237,206,1746,2277
22,1737,165,2273
398,206,1746,2722
390,206,1643,2708
433,2273,1649,2705
433,2678,1643,2705
394,206,1643,251
401,246,482,2689
1286,373,1328,421
24,791,129,922
1583,2336,1609,2608
1587,2336,1609,2608
679,574,1317,1175
23,1872,129,2137
20,656,165,1736
1575,2678,1643,2705
14,1856,169,2282
415,1464,427,1598
1603,704,1650,1759
22,1737,165,2272
1622,2219,1634,2398
26,1737,165,2272
22,1856,165,2273
32,2006,165,2272
622,239,1642,2678
414,1531,427,1598
13,646,170,2136
1096,239,1642,2559
679,574,1333,1055
1085,887,1185,1202
415,1059,427,1193
622,250,1615,2678
430,249,914,882
430,249,596,2677
686,239,1610,852
22,1732,142,1867
686,250,1557,1089
415,1937,427,2071
415,1938,427,2071
692,574,1333,1055
1643,2273,1649,2684
1643,2273,1649,2477
1643,704,1650,990
465,2071,1157,2677
24,791,129,921
18,1057,165,1736
1577,242,1643,1018
1208,252,1642,1445
807,2394,874,2495
465,2358,1157,2677
692,574,1317,1055
25,656,132,787
1208,252,1642,1212
415,2072,429,2206
1306,223,1374,248
686,2071,1157,2677
18,1061,165,1736
556,1366,622,1432
22,1867,165,2273
622,736,1615,2678
622,736,1259,1474
1499,891,1534,969
430,251,596,2677
433,2678,1312,2705
748,935,1259,1474
735,2678,1312,2705
415,1261,429,1395
1220,1758,1392,2131
622,736,1129,1219
1643,704,1650,923
27,1467,128,1596
878,1888,910,1936
867,527,937,603
1259,347,1342,421
26,1867,165,2272
20,656,32,927
26,1867,145,2271
458,499,468,664
1638,1200,1644,1807
981,1026,1125,1240
13,656,41,2239
402,246,482,2689
1238,817,1490,1445
679,574,1317,1057
26,1737,145,2006
433,2678,1036,2705
22,657,165,1736
22,787,165,1736
23,787,145,1192
415,248,428,653
415,453,427,653
415,520,427,653
1210,1675,1630,2678
23,1061,129,1192
1603,925,1650,1759
1592,220,1746,2708
1647,1398,1668,1462
686,405,1557,1089
22,1856,128,2000
511,2530,571,2613
867,515,955,603
26,656,132,786
135,656,145,786
27,657,127,786
415,722,428,991
415,722,427,924
415,722,427,856
879,1854,1385,2678
712,1708,781,1829
497,2681,564,2690
722,1708,781,1829
1477,298,1511,361
996,882,1061,934
394,206,1643,510
415,992,427,1058
748,1039,1259,1474
390,222,766,2708
832,624,873,683
625,1813,900,2081
692,574,1317,1009
715,1561,793,1694
715,1561,785,1694
1123,2679,1271,2705
1171,2679,1271,2705
22,2141,128,2273
23,1061,136,1192
415,1667,427,1801
22,1325,129,1463
415,453,427,585
867,527,934,603
696,827,800,1057
896,2456,948,2490
996,882,1111,1055
650,848,1615,2678
415,248,428,518
684,1559,1615,2678
748,1062,1259,1474
27,1867,145,2141
18,1184,165,1736
18,1327,165,1736
650,848,1516,1773
1284,1077,1413,1286
1603,925,1650,1751
26,2141,128,2271
415,1464,427,1531
398,2214,1746,2722
1171,2681,1238,2705
25,657,132,787
436,251,914,882
415,451,427,519
1079,796,1602,1933
988,2254,1048,2307
686,405,1557,1085
1242,1089,1336,1158
620,441,682,498
13,646,170,1337
1085,887,1212,1175
767,2679,1036,2705
834,2679,1036,2705
75,2141,128,2263
22,1184,165,1736
430,1495,436,2677
811,2389,881,2495
1287,2339,1317,2380
415,2305,482,2689
1158,1722,1186,1759
875,2467,919,2517
1312,2678,1576,2689
22,1732,133,1867
14,2142,169,2282
430,739,588,2677
130,656,145,920
1643,220,1746,2708
958,1893,1028,1945
1643,249,1671,704
912,250,1507,571
1482,667,1505,712
133,1331,170,2136
22,2007,130,2240
23,787,145,1061
1079,1300,1469,1933
912,239,1610,677
664,1668,734,1773
1258,1956,1536,2601
1371,304,1420,426
28,1063,128,1190
415,248,427,518
1085,935,1141,1121
1643,1760,1649,2128
893,1854,1385,2678
135,928,146,1057
844,1784,910,1852
429,223,1432,250
860,1784,910,1852
18,1340,165,1736
650,848,1516,1727
22,1466,165,1736
22,1568,149,1736
1096,239,1610,1847
1079,1300,1469,1895
631,223,1432,250
1599,925,1650,2677
838,804,1419,1513
23,787,145,1057
1252,2344,1298,2411
838,944,1419,1513
50,658,128,785
1088,1101,1125,1240
415,248,427,451
786,1717,819,1749
415,248,427,384
460,251,914,310
1330,796,1602,1847
867,527,955,603
1043,624,1130,689
27,1602,129,1731
403,246,449,2340
28,1603,106,1730
27,927,129,1056
725,2565,802,2622
36,1738,131,1867
1605,925,1650,1751
39,1738,128,1865
844,2426,891,2478
692,589,1317,1009
920,1656,968,1727
1227,2657,1502,2678
28,1867,145,2137
130,787,145,920
400,222,766,2708
1306,1289,1359,1364
622,736,1047,1148
16,924,145,1194
696,827,784,1057
981,1026,1093,1231
981,1039,1093,1231
22,1327,145,1467
1330,909,1602,1847
394,206,1643,286
433,2678,969,2705
913,1947,1077,2107
1056,630,1130,689
1079,1328,1465,1895
974,2112,1089,2264
1485,1682,1504,1757
1441,2331,1507,2446
14,1600,21,1861
839,624,873,661
912,239,1610,665
1643,1065,1649,1312
27,1197,129,1326
1404,1094,1431,1136
403,1281,432,2340
28,1332,128,1460
1356,1701,1408,1763
22,1184,149,1467
1107,1724,1520,2207
1040,922,1090,976
23,922,142,928
976,250,1507,571
134,1332,145,1457
448,2301,588,2677
1296,817,1490,1435
1453,912,1491,1016
415,1482,430,2340
1453,926,1485,1016
1296,817,1490,1422
879,1947,1114,2264
912,250,1116,416
436,251,596,2050
