"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",35,4753,846,90,90
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",36,1215,3721,93,93
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",37,5011,3356,114,114
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",38,501,3912,115,115
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",39,4091,5743,127,127
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",40,4377,5294,136,136
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",41,3521,3515,157,157
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",42,498,3994,160,160
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",43,618,3047,157,157
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",44,2051,5627,182,182
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",45,5036,2139,175,175
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",46,3522,5461,186,186
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",47,1055,3917,261,261
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",48,653,4749,288,288
"SP_Mosaic.tif","http://lroc.sese.asu.edu/data/pr/tiff/SP_Mosaic.tif","moon","haarcascade_frontalface_default.xml",49,2539,977,424,424
